Clé;Date mutation;Nature mutation;Valeur fonciere
5976;10/06/2020;Vente;70000
5979;02/06/2020;Vente;137900
7271;11/01/2020;Vente;111400
7272;20/01/2020;Vente;64500
7273;04/02/2020;Vente;182770
7274;05/02/2020;Vente;77850
7275;06/02/2020;Vente;202000
7276;05/02/2020;Vente;60000
7277;12/02/2020;Vente;147000
7278;24/01/2020;Vente;242319
7279;06/02/2020;Vente;217000
7282;12/02/2020;Vente;47500
7284;16/02/2020;Vente;106800
7286;29/01/2020;Vente;164700
7289;20/01/2020;Vente;507000
7290;03/02/2020;Vente;118950
7291;20/02/2020;Vente;85500
7292;19/02/2020;Vente;173000
7293;18/02/2020;Vente;109000
7295;14/02/2020;Vente;541500
7298;14/02/2020;Vente;70000
7300;27/02/2020;Vente;124000
7302;27/02/2020;Vente;161792
7303;19/02/2020;Vente;168000
7307;28/02/2020;Vente;71400
7308;27/02/2020;Vente;154000
7309;12/02/2020;Vente;267140
7310;20/02/2020;Vente;343000
7311;04/03/2020;Vente;90500
7314;09/04/2020;Vente;61750
7316;04/03/2020;Vente;80684,51
7318;10/04/2020;Vente;347900
7320;30/04/2020;Vente;54000
7322;05/05/2020;Vente;214970
7325;13/05/2020;Vente;73500
7326;15/05/2020;Vente;152200
7327;17/04/2020;Vente;75500
7328;11/05/2020;Vente;115500
7329;15/05/2020;Vente;496000
7331;26/05/2020;Vente;154155
7332;22/05/2020;Vente;338820
7334;03/06/2020;Vente;82000
7335;15/05/2020;Vente;126450
7336;12/05/2020;Vente;155050
7337;13/05/2020;Vente;180650
7339;13/05/2020;Vente;102000
7341;28/05/2020;Vente;76000
7345;22/05/2020;Vente;217200
7346;03/06/2020;Vente;262000
7347;29/05/2020;Vente;287000
7348;29/05/2020;Vente;62000
7351;25/05/2020;Vente;140000
7352;08/06/2020;Vente;148500
7353;18/05/2020;Vente;110000
7355;26/05/2020;Vente;255000
7357;05/06/2020;Vente;341900
7358;02/06/2020;Vente;135000
7359;15/06/2020;Vente;256868
7360;15/06/2020;Vente;156300
7364;23/06/2020;Vente;260000
7366;19/06/2020;Vente;90000
7367;22/06/2020;Vente;166000
2572;09/01/2020;Vente;175000
2573;10/01/2020;Vente;147000
2574;03/01/2020;Vente;69350
2575;07/01/2020;Vente;140000
2576;03/01/2020;Vente;146000
2577;13/01/2020;Vente;134000
2578;15/01/2020;Vente;90500
2579;10/01/2020;Vente;432000
2580;13/01/2020;Vente;251000
2581;10/01/2020;Vente;91000
2582;08/01/2020;Vente;187000
2583;14/01/2020;Vente;340000
2584;17/01/2020;Vente;52000
2585;09/01/2020;Vente;146400
2586;07/01/2020;Vente;75000
2587;09/01/2020;Vente;125000
2588;08/01/2020;Vente;68000
2589;08/01/2020;Vente;85000
2590;17/01/2020;Vente;44700
2591;10/01/2020;Vente;33000
2592;08/01/2020;Vente;65748
2593;07/01/2020;Vente;169600
2594;10/01/2020;Vente;105000
2595;07/01/2020;Vente;172000
2596;14/01/2020;Vente;218500
2597;10/01/2020;Vente;201400
2598;17/01/2020;Vente;227000
2599;10/01/2020;Vente;53000
2600;20/01/2020;Vente;54000
2601;27/01/2020;Vente;235000
2602;20/01/2020;Vente;28500
2603;22/01/2020;Vente;45500
2604;15/01/2020;Vente;86000
2605;20/01/2020;Vente;50000
2606;22/01/2020;Vente;46500
2607;07/01/2020;Vente;12000
2608;20/01/2020;Vente;73120
2609;21/01/2020;Vente;455000
2610;24/01/2020;Vente;59000
2611;14/01/2020;Vente;98500
2612;16/01/2020;Vente;114400
2613;17/01/2020;Vente;150408
2614;21/01/2020;Vente;99670
2615;21/01/2020;Vente;210000
2616;10/01/2020;Vente;114500
2617;13/01/2020;Vente;218600
2618;13/01/2020;Vente;206000
2619;27/01/2020;Vente;37000
2620;21/01/2020;Vente;35000
2621;23/01/2020;Vente;69000
2622;16/01/2020;Vente;700000
2623;13/01/2020;Vente;118700
2624;27/01/2020;Vente;61000
2625;16/01/2020;Vente;65550
2626;13/01/2020;Vente;48000
2627;21/01/2020;Vente;99900
2628;21/01/2020;Vente;86500
2629;28/01/2020;Vente;325000
2630;14/01/2020;Vente;28000
2631;24/01/2020;Vente;62000
2632;16/01/2020;Vente;253000
2633;22/01/2020;Vente;84000
2634;30/01/2020;Vente;112250
2635;10/01/2020;Vente;78000
2636;24/01/2020;Vente;577000
2637;28/01/2020;Vente;116000
2638;13/01/2020;Vente;380280
2639;29/01/2020;Vente;32000
2640;03/02/2020;Vente;67500
2641;20/01/2020;Vente;71000
2642;05/02/2020;Vente;60000
2643;30/01/2020;Vente;167000
2644;28/01/2020;Vente;81000
2645;28/01/2020;Vente;33500
2646;17/01/2020;Vente;38600
2647;07/02/2020;Vente;68000
2648;23/01/2020;Vente;138000
2649;27/01/2020;Vente;128000
2650;06/02/2020;Vente;68000
2651;27/01/2020;Vente;603800
2652;31/01/2020;Vente;66000
2653;31/01/2020;Vente;77000
2654;31/01/2020;Vente;1000000
2655;30/01/2020;Vente;131000
2656;11/02/2020;Vente;68001
2657;27/01/2020;Vente;37000
2658;21/01/2020;Vente;125000
2659;31/01/2020;Vente;185000
2660;29/01/2020;Vente;46000
2661;15/01/2020;Vente;110000
2662;11/02/2020;Vente;180000
2663;22/01/2020;Vente;79000
2664;21/01/2020;Vente;39500
2665;16/01/2020;Vente;217000
2666;30/01/2020;Vente;144600
2667;10/02/2020;Vente;100000
2668;11/02/2020;Vente;76800
2669;11/02/2020;Vente;107000
2670;31/01/2020;Vente;65000
2671;21/01/2020;Vente;18000
2672;17/01/2020;Vente;71800
2673;14/02/2020;Vente;58000
2674;10/02/2020;Vente;345000
2675;03/02/2020;Vente;117000
2676;11/02/2020;Vente;189000
2677;04/02/2020;Vente;89000
2678;17/02/2020;Vente;135000
2679;24/01/2020;Vente;79000
2680;10/02/2020;Vente;57000
2681;14/02/2020;Vente;105500
2682;14/02/2020;Vente;87000
2683;19/02/2020;Vente;58000
2684;10/02/2020;Vente;276500
2685;24/01/2020;Vente;92000
2686;12/02/2020;Vente;63000
2687;11/02/2020;Vente;169000
2688;17/02/2020;Vente;174000
2689;30/01/2020;Vente;72000
2690;14/02/2020;Vente;136000
2691;10/02/2020;Vente;195000
2692;11/02/2020;Vente;55500
2693;24/01/2020;Vente;86400
2694;04/02/2020;Vente;280500
2695;28/01/2020;Vente;208000
2696;20/02/2020;Vente;190000
2697;20/02/2020;Vente;83000
2698;30/01/2020;Vente;59000
2699;20/02/2020;Vente;34000
2700;12/02/2020;Vente;165000
2701;18/02/2020;Vente;49000
2702;10/02/2020;Vente;56000
2703;12/02/2020;Vente;180000
2704;17/02/2020;Vente;69000
2705;28/01/2020;Vente;78000
2706;12/02/2020;Vente;58200
2707;14/02/2020;Vente;73129
2708;06/02/2020;Vente;71700
2709;06/02/2020;Vente;41000
2710;17/02/2020;Vente;57000
2711;27/02/2020;Vente;75000
2712;05/02/2020;Vente;53000
2713;07/02/2020;Vente;157250
2714;17/02/2020;Vente;80000
