Clé;Date mutation;Nature mutation;Valeur fonciere
3266;13/03/2020;Vente;405800
3268;09/03/2020;Vente;397950
3271;26/02/2020;Vente;147000
3275;21/02/2020;Vente;192000
3280;10/03/2020;Vente;230000
3283;13/03/2020;Vente;140000
3284;13/03/2020;Vente;417000
3285;25/02/2020;Vente;472600
3286;11/03/2020;Vente;156000
3288;02/04/2020;Vente;218000
3289;02/04/2020;Vente;123000
3290;06/03/2020;Vente;250000
3295;12/03/2020;Vente;35000
3297;13/03/2020;Vente;497000
3301;09/03/2020;Vente;142000
3302;16/03/2020;Vente;159500
3307;17/03/2020;Vente;155000
3308;30/03/2020;Vente;146400
3310;12/03/2020;Vente;97000
3311;12/03/2020;Vente;190000
3312;12/03/2020;Vente;85000
3315;28/02/2020;Vente;270000
3316;20/03/2020;Vente;90000
3318;19/03/2020;Vente;310000
3320;13/03/2020;Vente;260000
3321;17/03/2020;Vente;140000
3322;07/01/2020;Vente;123000
3323;08/01/2020;Vente;148000
3324;16/01/2020;Vente;249650
3325;10/01/2020;Vente;285000
3326;02/01/2020;Vente;163500
3328;13/01/2020;Vente;111470
3329;13/01/2020;Vente;241000
3330;10/01/2020;Vente;149000
3331;09/01/2020;Vente;178000
3332;09/01/2020;Vente;252750
3333;27/01/2020;Vente;155000
3335;21/01/2020;Vente;187190
3336;24/01/2020;Vente;107000
3337;09/01/2020;Vente;127000
3338;13/01/2020;Vente;399500
3341;30/01/2020;Vente;184300
3342;20/01/2020;Vente;366700
3343;24/01/2020;Vente;101500
3344;23/01/2020;Vente;120700
3345;10/01/2020;Vente;129000
3346;21/01/2020;Vente;58850
3347;20/01/2020;Vente;162300
3348;27/01/2020;Vente;132000
3349;14/01/2020;Vente;197000
3350;24/01/2020;Vente;136000
3352;03/02/2020;Vente;257000
3353;04/02/2020;Vente;34000
3354;30/01/2020;Vente;273000
3355;04/02/2020;Vente;88500
3356;30/01/2020;Vente;73000
3357;04/02/2020;Vente;265000
3358;29/01/2020;Vente;152611
3359;07/02/2020;Vente;152000
3360;07/02/2020;Vente;235200
3361;30/01/2020;Vente;84000
3362;11/02/2020;Vente;105000
3364;24/01/2020;Vente;164500
3365;23/01/2020;Vente;90500
3367;30/01/2020;Vente;81500
3368;04/02/2020;Vente;163000
3369;05/02/2020;Vente;79000
3370;28/01/2020;Vente;35000
3371;20/01/2020;Vente;224500
3372;30/01/2020;Vente;40000
3373;11/02/2020;Vente;109000
3374;12/02/2020;Vente;119000
3375;11/02/2020;Vente;30000
3376;03/02/2020;Vente;136000
3378;06/02/2020;Vente;88000
3379;03/02/2020;Vente;213000
3380;10/02/2020;Vente;355000
3382;21/02/2020;Vente;56000
3383;13/02/2020;Vente;419000
3385;19/02/2020;Vente;210000
3386;24/02/2020;Vente;79500
3387;27/02/2020;Vente;67000
3388;06/02/2020;Vente;250300
3389;18/02/2020;Vente;269000
3392;28/02/2020;Vente;86000
3393;17/02/2020;Vente;104000
3394;14/02/2020;Vente;277400
3395;17/02/2020;Vente;146500
3396;20/01/2020;Vente;40000
3397;13/02/2020;Vente;238095
3398;03/03/2020;Vente;135000
3399;17/02/2020;Vente;269500
3400;08/02/2020;Vente;170100
3402;28/02/2020;Vente;155000
3403;19/02/2020;Vente;139000
3404;02/03/2020;Vente;110000
3405;27/02/2020;Vente;280000
3407;20/02/2020;Vente;210000
3408;27/02/2020;Vente;97000
3409;27/02/2020;Vente;150500
3410;28/02/2020;Vente;170000
3411;13/02/2020;Vente;110500
3412;24/02/2020;Vente;160000
3413;25/02/2020;Vente;109250
3415;12/03/2020;Vente;142590
3416;19/02/2020;Vente;83000
3417;04/03/2020;Vente;390000
3418;13/03/2020;Vente;157900
3422;20/02/2020;Vente;146090
3424;06/03/2020;Vente;289100
3425;25/02/2020;Vente;175000
3426;06/03/2020;Vente;158500
3427;21/02/2020;Vente;210627
3428;28/02/2020;Vente;65000
3429;09/03/2020;Vente;136750
3430;05/03/2020;Vente;181660
3431;25/02/2020;Vente;55000
3432;13/03/2020;Vente;195000
3433;12/03/2020;Vente;138000
3434;10/04/2020;Vente;250000
3435;17/03/2020;Vente;214400
3436;06/03/2020;Vente;411050
3437;16/03/2020;Vente;159000
3438;11/03/2020;Vente;100800
3439;15/04/2020;Vente;62000
3440;08/04/2020;Vente;214000
3441;13/03/2020;Vente;188000
3442;17/03/2020;Vente;150844,4
3443;21/04/2020;Vente;74229
3444;17/04/2020;Vente;169000
3445;15/04/2020;Vente;78500
3447;21/04/2020;Vente;165250
3448;09/04/2020;Vente;60000
3449;24/04/2020;Vente;192000
3450;28/04/2020;Vente;87000
3452;11/03/2020;Vente;240000
3453;17/04/2020;Vente;84000
3454;27/02/2020;Vente;184000
3455;30/04/2020;Vente;269000
3456;07/05/2020;Vente;172000
3457;12/05/2020;Vente;67153
3458;30/04/2020;Vente;80000
3459;30/04/2020;Vente;172628
3460;13/05/2020;Vente;142000
3463;06/05/2020;Vente;395000
3464;06/05/2020;Vente;220000
3465;11/05/2020;Vente;167000
3466;12/05/2020;Vente;168650
3467;13/05/2020;Vente;154900
3468;30/04/2020;Vente;143000
3469;14/05/2020;Vente;217500
3470;16/03/2020;Vente;320000
3471;15/05/2020;Vente;224850
3472;18/05/2020;Vente;153000
3473;04/05/2020;Vente;70000
3474;19/05/2020;Vente;88000
3475;04/05/2020;Vente;289000
3476;14/05/2020;Vente;170000
3477;12/05/2020;Vente;118500
3479;13/05/2020;Vente;215000
3480;20/05/2020;Vente;103000
3481;18/05/2020;Vente;247000
3482;19/05/2020;Vente;120200
3483;19/05/2020;Vente;117000
3484;06/05/2020;Vente;195000
3485;26/05/2020;Vente;161850
3486;20/05/2020;Vente;100000
3487;13/05/2020;Vente;58000
3488;11/05/2020;Vente;225500
3489;14/05/2020;Vente;495000
3490;28/05/2020;Vente;224000
3491;28/05/2020;Vente;120000
3492;08/06/2020;Vente;96150
3493;27/05/2020;Vente;396500
3494;04/06/2020;Vente;245000
3496;10/06/2020;Vente;220000
3497;03/06/2020;Vente;149950
3498;27/05/2020;Vente;126000
3499;15/06/2020;Vente;55000
3500;11/06/2020;Vente;204000
3501;09/06/2020;Vente;142620
3502;25/05/2020;Vente;139000
3503;26/05/2020;Vente;183000
3504;08/06/2020;Vente;89000
3505;18/06/2020;Vente;509500
3506;13/05/2020;Vente;163000
3507;05/06/2020;Vente;105000
3508;09/06/2020;Vente;156000
3509;27/04/2020;Vente;132000
3510;04/06/2020;Vente;76000
