ID_Adrese;ID_VF;No voie;Type de voie;Voie;Code postal;Commune
308;7300;491;AV;DE VANIERES;34070;MONTPELLIER
309;7302;23;RUE;DE CHIO;34000;MONTPELLIER
310;7303;35;RUE;SAINT CLEOPHAS;34070;MONTPELLIER
311;7307;1278;RTE;DE GANGES;34090;MONTPELLIER
312;7308;239;RUE;BRUMAIRE;34000;MONTPELLIER
313;7309;188;RUE;DE SICILE;34080;MONTPELLIER
314;7310;4;RUE;RIGAUD;34000;MONTPELLIER
315;7311;4;RUE;EDOUARD VII;34070;MONTPELLIER
316;7314;775;RUE;PAUL RIMBAUD;34080;MONTPELLIER
317;7316;300;RUE;BUFFON;34070;MONTPELLIER
318;7318;79;RUE;RAY CHARLES;34000;MONTPELLIER
319;7320;37;CRS;GAMBETTA;34000;MONTPELLIER
320;7322;9;RUE;DE LORRAINE;34070;MONTPELLIER
321;7325;100;PL;SEAN MAC BRIDE;34080;MONTPELLIER
322;7326;813;RUE;DE FONTCARRADE;34070;MONTPELLIER
323;7327;7;RUE;DES AMARYLLIS;34070;MONTPELLIER
324;7328;57;RUE;CHRISTIAN BENEZECH;34070;MONTPELLIER
325;7329;5;BD;VICTOR HUGO;34000;MONTPELLIER
326;7331;636;AV;DU PROF EMILE JEANBRAU;34090;MONTPELLIER
327;7332;13;RUE;FOCH;34000;MONTPELLIER
328;7334;728;RUE;DE FONTCARRADE;34070;MONTPELLIER
329;7335;82;ALL;JULES MILHAU;34000;MONTPELLIER
330;7336;151;AV;DU PONT TRINQUAT;34070;MONTPELLIER
331;7337;2;RUE;BEAU SEJOUR;34000;MONTPELLIER
332;7339;7;RUE;D ALSACE;34070;MONTPELLIER
333;7341;20;RUE;LOUIS BRAILLE;34070;MONTPELLIER
334;7345;1265;RUE;DE BUGAREL;34070;MONTPELLIER
335;7346;1;RUE;ROSSINI;34070;MONTPELLIER
336;7347;77;RUE;DU FAUBOURG FIGUEROLLES;34070;MONTPELLIER
337;7348;45;RUE;ESCULAPE;34090;MONTPELLIER
338;7351;1;RUE;DU PUITS DES ESQUILLES;34000;MONTPELLIER
339;7352;56;RUE;DE GALATA;34000;MONTPELLIER
340;7353;66;RTE;DE LODEVE;34080;MONTPELLIER
341;7355;220;RUE;LE TINTORET;34000;MONTPELLIER
342;7357;101;RUE;DE LA PENICHE;34070;MONTPELLIER
343;7358;130;RUE;CLAUDE PERCIER;34080;MONTPELLIER
344;7359;9;RUE;DURAND;34000;MONTPELLIER
345;7360;11;RUE;DES BLEUETS;34070;MONTPELLIER
346;7364;1659;AV;DU PERE SOULAS;34090;MONTPELLIER
347;7366;3;RUE;SAINTE ANNE;34000;MONTPELLIER
348;7367;365;RUE;DU 56E REGT D ARTILLERIE;34070;MONTPELLIER
349;2572;17;BD;DES DAMES;13002;MARSEILLE 2EME
350;2573;51;RUE;DE FORBIN;13002;MARSEILLE 2EME
351;2574;9;RUE;BOSCARY;13004;MARSEILLE 4EME
352;2575;46;RUE;CHEVALIER PAUL;13002;MARSEILLE 2EME
353;2576;55;RUE;FRANCIS DAVSO;13001;MARSEILLE 1ER
354;2577;2;RUE;JEAN DE BERNARDY;13001;MARSEILLE 1ER
355;2578;64;AV;DE MONTOLIVET;13004;MARSEILLE 4EME
356;2579;4;RUE;FORTIA;13001;MARSEILLE 1ER
357;2580;43;RUE;LE PELLETIER;13016;MARSEILLE 16EME
358;2581;33;RUE;DU PETIT PUITS;13002;MARSEILLE 2EME
359;2582;2;IMP;DU CHALET;13015;MARSEILLE 15EME
360;2583;8;PL;JEAN JAURES;13001;MARSEILLE 1ER
361;2584;48;RUE;BERNARD DU BOIS;13001;MARSEILLE 1ER
362;2585;133;AV;DES CHARTREUX;13004;MARSEILLE 4EME
363;2586;44;RUE;CURIOL;13001;MARSEILLE 1ER
364;2587;64;BD;CAMILLE FLAMMARION;13001;MARSEILLE 1ER
365;2588;6;RUE;GUINTRAND;13002;MARSEILLE 2EME
366;2589;14;PL;AUX HUILES;13001;MARSEILLE 1ER
367;2590;5001;RES;MARITIME;13015;MARSEILLE 15EME
368;2591;13;TSSE;DU MOULIN A VENT;13015;MARSEILLE 15EME
369;2592;29;RUE;MARECHAL FAYOLLE;13004;MARSEILLE 4EME
370;2593;13;RUE;BERANGER;13004;MARSEILLE 4EME
371;2594;381;CHE;MADRAGUE VILLE;13015;MARSEILLE 15EME
372;2595;57;RUE;ADOLPHE THIERS;13001;MARSEILLE 1ER
373;2596;12;RUE;RANQUE;13001;MARSEILLE 1ER
374;2597;158;AV;DES CHARTREUX;13004;MARSEILLE 4EME
375;2598;89;BD;LOUIS BOTINELLY;13004;MARSEILLE 4EME
376;2599;2;RUE;CHARLES DE FOUCAULD;13004;MARSEILLE 4EME
377;2600;48;RUE;CLOVIS HUGUES;13003;MARSEILLE 3EME
378;2601;5001;IMP;DES AGACES;13014;MARSEILLE 14EME
379;2602;17;;RSE NORD;13015;MARSEILLE 15EME
380;2603;5;RUE;THUBANEAU;13001;MARSEILLE 1ER
381;2604;48;AV;DE ST LOUIS;13015;MARSEILLE 15EME
382;2605;80;BD;FRANCOISE DUPARC;13004;MARSEILLE 4EME
383;2606;26;BD;HENRI BOULLE;13004;MARSEILLE 4EME
384;2607;77;RUE;PAUTRIER;13004;MARSEILLE 4EME
385;2608;1;RUE;SAINT MATHIEU;13002;MARSEILLE 2EME
386;2609;47;RUE;DE LA LOGE;13002;MARSEILLE 2EME
387;2610;34;RUE;JEANNE JUGAN;13004;MARSEILLE 4EME
388;2611;48;RUE;D AUBAGNE;13001;MARSEILLE 1ER
389;2612;33;AV;MAL FOCH;13004;MARSEILLE 4EME
390;2613;9;RUE;GUY FABRE;13001;MARSEILLE 1ER
391;2614;27;BD;DE LA LIBERATION;13001;MARSEILLE 1ER
392;2615;12;RUE;DE PROVENCE;13004;MARSEILLE 4EME
393;2616;33;RUE;CAVAIGNAC;13003;MARSEILLE 3EME
394;2617;2;RUE;DE LA BIBLIOTHEQUE;13001;MARSEILLE 1ER
